Dristrito,Población
Al,15.508
Ba,55.775
Bo,3.881
Boque,4.493
Bu,78.209
Da,144.858
Do,25.102
Gua,8.956
Reme,4.502
Rena,20.524
S.Felix,6.304
S.Lorenzo,7.507
Tole,11.885
